index, timestamp, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks.current.graphics [MHz]
3, 2023/10/17 23:36:05.339, 73.57 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:36:15.341, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:36:15.343, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:36:15.345, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:36:15.348, 73.57 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:36:25.350, 57.10 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:36:25.352, 42.09 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:36:25.354, 42.98 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:36:25.356, 75.03 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:36:35.358, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:36:35.360, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:36:35.361, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:36:35.363, 61.45 W, 1357 MHz, 877 MHz, 1357 MHz
0, 2023/10/17 23:36:45.366, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:36:45.368, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:36:45.370, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:36:45.371, 73.57 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:36:55.374, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:36:55.376, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:36:55.378, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:36:55.379, 73.08 W, 1530 MHz, 877 MHz, 1530 MHz
